ticker,empresa,setor_brapi
GOLL54,GOL Linhas Aereas Inteligentes S.A. Pfd,Transportation
GSFI11,General Shopping e Outlets do Brasil Fundo de Investimento Imobiliario,Miscellaneous
BRAV3,Brava Energia,Energy Minerals
SHPP11,Shopping Patio Paulista Fundo De Investimento Imobiliario Responsabilidade Limitada,
CPUR11,Capitania HBC Renda Urbana Fundo de Investimento Imobiliario Responsabilidade Limitada,
FNOR11,Finor Pfd,
BOVA11,iShares Ibovespa Fundo de Indice,Miscellaneous
AZZA3,Azzas 2154 SA,Consumer Non-Durables
FNAM11,Fundo de Investimento da Amazonia Cotas,
IGTI11,Iguatemi SA Units Cons of 1 Sh + 2 Pfd Shs,Finance
GOLD11,Gold - Trend ETF LBMA Ouro Fundo Investimento Cotas de Fundo de Indice Investiment Exterior,Miscellaneous
SMAL11,iShares BM&FBOVESPA Small Cap Index Fund,Miscellaneous
HPDP11,Hedge Shopping Parque Dom Pedro Fundo de Investimento Imobiliario,Miscellaneous
CPLG11,Capitania Logistica Fundo de Investimento Imobiliario,Miscellaneous
MXRF11,Maxi Renda Fundo de Investimento Imobiliario Cotas,Miscellaneous
GARE11,Fundo de Investimento Imobiliario Guardian Real Estate,Miscellaneous
BOVX11,Trend ETF Ibovespa Fundo de Indice,Miscellaneous
VGIR11,Valora Re III Fundo De Investimento Imobiliario,
NASD11,Trend ETF Nasdaq 100 Fundo de Indice,Miscellaneous
RBRF11,Fundo de Investimento Imobiliario RBR Alpha Fundo de Fundos Cotas,Miscellaneous
CPTS11,Capitania Securities II Fundo de Investimento Imobiliario Cotas,Miscellaneous
GGRC11,GGR Covepi Renda Fundo de Investimento Imobiliario - FII,Miscellaneous
BRBI11,BRBI BR Partners S.A. Units Cons of 1 Sh and 2 Pfd Shs,Finance
KNSC11,Kinea Securities Fundo de Investimento Imobiliario,Miscellaneous
VVCO11,V2 Edificios Corporativos Fundode Investimento Imobiliario,
BOVV11,IT Now Ibovespa Fundo de Indice Cotas,Miscellaneous
XINA11,TREND ETF BLOOMBERG CHINA FUNDO DE INDICE -INVESTIMENTO NO EXTERIOR,Miscellaneous
USAL11,Trend ETF CRSP US Large Cap,Miscellaneous
VGHF11,Valora Hedge Fund Fundo de Investimento Imobiliario,
BTCI11,FII BTG Pactual Credito Imobiliario,Miscellaneous
RBVA11,Fundo de Investimento Imobiliario Rio Bravo Renda Varejo - FII,Miscellaneous
HASH11,Hashdex Nasdaq Crypto Index Fundo de Indice,Miscellaneous
RURA11,Itau Asset Rural Figaro Imobiliario,Miscellaneous
MCRE11,Maua Capital Real Estate Fundo de Investimento Imobiliario,
BTHF11,BTG Pactual Real Estate Hedge Fund FII Fundo de Investimento Imobiliario Responsabilidade Limitada,
DEBB11,BTG Pactual Teva Debentures DI Fundo de Indice ETF,Miscellaneous
SPXR11,It Now S&P 500 Futures Quanto BRL Fundo de Indice Responsabilidade Limitada,
ETHE11,HASHDEX NASDAQ ETHEREUM REFERENCE PRICE ETF,Miscellaneous
BODB11,Bocaina Infra Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura Renda Fix Cr Priv,Miscellaneous
IRFM11,IT Now IRFM P2 Fundo De indice,Miscellaneous
QSOL11,QR CME CF Solana Dollar Reference Rate Fundo De Indice Responsabilidade Limitada,Miscellaneous
VGIA11,Valora CRA Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,Miscellaneous
DOLA11,BB ETF Indice Futuro De Dolar S&P/B3 Fundo De Indice Responsabilidade Limitada,Miscellaneous
HFOF11,Hedge Top Fofii 3 Fundo Investimento Imobiliario,Miscellaneous
KNCR11,Kinea Rendimentos Imobiliarios Fundo de Investimento Imobiliario - FII Cotas,Miscellaneous
SNEL11,Fundo de Investimento Imobiliario Suno Energias Limpas,
JSAF11,JS Ativos Financeiros Fundo de Investimento Imobiliario,Miscellaneous
ALZR11,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario Investor,Miscellaneous
RBRS11,RIO Bravo Renda Residencial Fundo de Investimentos Imobiliario,
SNAG11,Suno Agro Fiagro Imobiliario,
FGAA11,FG/AGRO Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,Miscellaneous
CNES11,Cenesp Fundo de Investimento Imobiliario Responsabilidade Limitada Cotas,Miscellaneous
RZAG11,Fundo de Investimento nas Cadeias Produtivas Agroindustriais Riza Agro Fiagro Imobiliario,Miscellaneous
HGBS11,CSHG Brasil Shopping Fundo de Investimento Imobiliario Cotas,Miscellaneous
SOLH11,Hashdex Nasdaq Solana Fundo De Indice,Miscellaneous
LFTS11,Investo Teva Tesouro Selic ETF,Miscellaneous
MANA11,Manati Capital Hedge Fund Fundo de Investimento Imobiliario,
VINO11,Vinci Offices Fundo de Investimento Imobiliario,
LFTB11,Investo ETF Marketvector Brazil Treasury 760 Day Target Duration Classe de Indice Responsabilidade Limitada,Miscellaneous
QETH11,QR CME CF ETHER REFERENCE RATE FUNDO DE INDICE - INVESTIMENTO NO EXTERIOR,Miscellaneous
TRXF11,TRX Real Estate Fundo Investimento Imobiliario,Miscellaneous
BBIG11,BB Premium Malls Fundo de Investimento Imobiliario de Responsabilidade Limitada,
XPCA11,XP Credito Agricola Fundo de Investimento nas Cadeias Produtivas Fiagro Imobiliario,Miscellaneous
CPOF11,Capitania Office FII Fundo de Investimento Imobiliario Responsabilidade Limitada,
QBTC11,QR CME CF Bitcoin Reference Rate Fundo de Indice Investimento no Exterior,Miscellaneous
KNIP11,Kinea Indices Precos Fundo de Investimento Imobiliario- FII Cotas,Miscellaneous
UTEC11,Trend ETF Bloomberg US 3000 Technology Classe De Indice - Responsabilidade Limitada,Miscellaneous
XPML11,XP Malls Fundo Investimento Imobiliario Investor,Miscellaneous
SARE11,Santander Renda de Alugueis Fundo de Investimento Imobiliario,
CPSH11,Shoppings AAA Fundo de Investimento Imobiliario,
HCTR11,Fundo de Investimento Imobiliario Hectare CE,Miscellaneous
IRDM11,Fundo de Investimento Imobiliario Iridium Recebiveis Imobiliarios,Miscellaneous
RIFF11,Riff Fundo De Investimento Em Cotas De Fundos Incentivados De Investimento Em Infraestrutura Renda Fixa,
BITH11,Hashdex Nasdaq Bitcoin Reference Rate Fundo de Indice,Miscellaneous
BTLG11,BTG Pactual Logistica Fundo de Investimento Imobiliario Responsabilidade Limitada,Miscellaneous
XRPH11,Hashdex Nasdaq XRP Fundo De Indice,
CDII11,Sparta Infra CDI Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura RF Cred Priv,Miscellaneous
COIN11,Buena Vista Neos Bitcoin High Income Index Fundo De Indice - Responsabilidade Limitada,
VGRI11,Valora Renda Imobiliaria Fundo De Investimento Imobiliario - Responsabilidade Limitada,
IVVB11,iShares S&P 500 Fundo de Investimento em Cotas de Fundo de Indice - Investimento no Exterior,Miscellaneous
RZTR11,Fundo de Investimento Imobiliario Riza Terrax,
KISU11,Klima Fundo de Investimento em Cotas de Fundos Imobiliarios Suno 30,
IB5M11,IT Now IMA-B5+ Fundo de Indice,Miscellaneous
TGAR11,Fundo de Investimento Imobiliario TG Ativo Real Cotas,Miscellaneous
MCLO11,Maua Capital Logistica Fundo de Investimento Imobiliario Responsabilidade Limitada,
CPTR11,Capitania Agro Strategies Fiagro Imobiliario,Miscellaneous
AJFI11,AJ Malls Fundo de Investimento Imobiliario,
JCIN11,FOF JHSF Capital Institucional - Fundo De Investimento Imobiliario,
USDB11,Investo Bloomberg US Bond ETF Fundo de Investimento de Indice - Investimento no Exterior,Miscellaneous
PORD11,Polo Fundo de Investimento Imobiliario - Recebiveis Imobiliarios II - FII Cotas,
VVMR11,Fundo De Investimento Imobiliario Multi Renda Urbana,
B5P211,IT Now IMA-B5 P2 Fundo de Indice,Miscellaneous
HGLG11,Patria Log - Fundo de Investimento Imobiliario - Responsabilidade Limitada Cotas,Miscellaneous
LIFE11,Life Capital Partners Fundo de Investimentos Imobiliarios 1,
PNPR11,Panorama Properties Fundo de Investimento Imobiliario,
MCCI11,Fundo de Investimento Imobiliario Maua Capital Recebiveis Imobiliarios,
PMLL11,Patria Malls Fundo de Investimento Imobiliario Responsabilidade Limitada,Miscellaneous
XPLG11,XP Log Fundo Investimento Imobiliario FII,Miscellaneous
JSRE11,JS Real Estate Multigestao-FII Cotas,Miscellaneous
CCME11,Canuma Capital Multiestrategia Fundo de Investimento Imobiliario,Miscellaneous
PVBI11,Patria - VBI Asset Management Ltda,Miscellaneous
RBRX11,RBR Plus Multiestrategia Real Estate Fundo de Investimento Imobiliario,
GAME11,Fundo de Investimento Imobiliario Guardian Multiestrategia Imobiliaria I,Miscellaneous
ARGE11,Investo Argentina Fundo de Indice,
CACR11,Cartesia Recebiveis Imobiliarios Fundo de Investimento Imobiliario,Miscellaneous
BRCR11,Fundo de Investimento Imobiliario - FII BTG Pactual Corporate Office Fund Cotas,Miscellaneous
TECK11,IT Now NYSE Fang Fundo de Indice,Miscellaneous
HSML11,HSI Malls Fundo de Investimento Imobiliario,
RBRY11,Fundo de Investimento Imobiliario RBR Credito Imobiliario Estruturado Responsabilidade Limitada,Miscellaneous
AREA11,BTG Pactual Teva ITBR IPCA Rendimento Fundo de Indice ETF,
ARRI11,Fundo de Investimento Imobiliario Atrio Reit Recebiveis,
KNUQ11,Kinea Unique HY CDI Fundo de Investimento Imobiliario,Miscellaneous
BRCO11,Bresco - Fundo de Investimento Imobiliario,Miscellaneous
HREC11,Hedge Recebiveis Fundo de Investimento Imobiliario,
AAZQ11,AZ Quest Sole Fundo de Investimento Nas Cadeias Produtivas do Agronegocio - Fiagro - Imobiliario,Miscellaneous
CYCR11,Cyrela Credito - Fundo de Investimento Imobiliario,
PMIS11,PARAMIS HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIARIO - FII,
JURO11,Sparta Infra Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrut Renda Fixa Cred Priv,
KNRI11,Kinea Renda Imobiliaria Fundo de Investimento Imobiliario - FII Cotas,Miscellaneous
VISC11,Vinci Shopping Centers Fundo de Investimento Imobiliario - FII Cotas,Miscellaneous
RECR11,Fundo de Investimento Imobiliario FII REC Recebiveis Imobiliarios,Miscellaneous
BITI11,IT Now Bloomberg Galaxy Bitcoin Fundo de Indice,Miscellaneous
HGRU11,Patria Renda Urbana Fundo de Investimento Imobiliario Responsabilidade Limitada,Miscellaneous
KNCA11,Kinea Credito Agro Fiagro Imobiliario,Miscellaneous
RBRR11,Fundo de Investimento Imobiliario FII RBR Rendimento High Grade Responsabilidade Limitada,Miscellaneous
GRUL11,Icatu Vanguarda Gru Logistico Fundo de Investimento Imobiliario Responsabilidade Limitada,
FYTO11,FUNDO DE INVESTIMENTO IMOBILIARIO FYTO RECEBIVEIS IMOBILIARIOS,
XPSF11,XP Selection Fundo de Fundos de Investimento Imobiliario - FII,
BDIF11,BTG Pactual Divida Infra FI em Cotas de Fundos Incentivados de Investimento em Infra Rend Fix Cred Priv,Miscellaneous
VCJR11,Vectis Juros Real Fundo de Investimento Imobiliario,
DEVA11,Devant Recebiveis Imobiliarios Fundo de Investimento Imobiliario,
KNHF11,Kinea Hedge Fund Fundo de Investimento Imobiliario,
HGCR11,CSHG Recebiveis Imobiliarios - Fundo de Investimento Imobiliario - FII Cotas,Miscellaneous
AGRX11,Fundo de Investimento nas Cadeias Produtivas Agroindustriais Exes Araguaia Fiagro Imobiliario,
KORE11,Kinea Oportunidades Real Estate Fundo de Investimento Imobiliario,Miscellaneous
VGIP11,Valora CRI Indice de Preco Fundo de Investimento Imobiliario,
IFRI11,Itau Fundo de Investimento em Cotas de Fundos Incentivados de Investimento Financeiro em Infraestrutura CDI Renda Fixa,
VRTA11,Fator Verita Fundo de Investimento Imobiliario - FII Cotas,Miscellaneous
VRTM11,Fator Verita Multiestrategia Fundo De Investimento Imobiliario,
RZAK11,Riza Akin Fundo de Investimento Imobiliario,
VSLH11,Versalhes Recebiveis Imobiliarios Fundo de Investimento Imobiliario,
HOFC11,Hedge Office Income Fundo de Investimento Imobiliario,
SNID11,Suno Infra Debentures Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestr Renda Fixa,Miscellaneous
SPXI11,It Now S&P500 TRN Fundo de Indice,Miscellaneous
KCRE11,Kinea Creditas Fundo de Investimento Imobiliario,Miscellaneous
KDIF11,Kinea Infra Fundo Investimento Cotas Fundos Investimento Direitos Creditorios Infraestrutura,
LVBI11,Patria - VBI Asset Management Ltda,Miscellaneous
IAAG11,Inter Amerra Fiagro Imobiliario,
KNHY11,Kinea High Yield CRI Fundo De Investimento Imobiliario - FII,Miscellaneous
VILG11,Vinci Logistica Fundo de Investimento Imobiliario - FII,
PCIP11,Patria Credito Imobiliario Indice de Precos Fundo de Investimento Imobiliario Responsabilidade Limitada,
XPCI11,XP Credito Imobiliario - Fundo De Investimento Imobiliario,
VIUR11,Vinci Imoveis Urbanos Fundo de Investimento Imobiliario,
DEFI11,Hashdex Defi Index Fundo de Indice,Miscellaneous
QQQI11,Buena Vista Nasdaq-100 Neos High Income Etf,Miscellaneous
TRBL11,Fundo de Investimento Imobiliario Tellus Rio Bravo Renda Logidtica FII,Miscellaneous
IFRA11,Itau Fundo de Investimento em Cotas de Fundos de Investimento em Direitos Creditorios de Infraestrutura,Miscellaneous
SNLG11,Suno Log Fundo de Investimento Imobiliario,Miscellaneous
EQIR11,EQI Recebiveis Imobiliarios Fundo de Investimento Imobiliario,
DIVO11,IT NOW IDIV Fundo de Indice Cotas,Miscellaneous
WRLD11,Investo FTSE Global Equities ETF,Miscellaneous
VPPR11,V2 Prime Properties Fundo de Investimento Imobiliario FII,
MFII11,Merito Recebiveis Imobiliarios FII-Fundo de Investimento,Miscellaneous
HIGH11,NU Ibov Smart High Beta B3 Classe De Indice,Miscellaneous
SPYI11,Buena Vista US High Income ETF,Miscellaneous
CPTI11,Capitania Infra FIC FI Infra RF CP,
ICRI11,Itau Credito Imobiliario IPCA Fundo De Investimento Imobiliario,
WHGR11,WHG Real Estate Fundo de Investimento Imobiliario,Miscellaneous
JMBI11,JiveMaua Bossanova Fundo Incentivado de Investimento em Infraestrutura Renda Fixa Responsabilidade Limitada,
GZIT11,Gazit Malls Fundo De Investimento Imobiliario,
HGRE11,Patria Escritorios - Fundo de Investimento Imobi liario - Responsabilidade Limitada,Miscellaneous
DVER11,BB ETF Indice Diversidade B3 Investimento Sustentavel Fundo de Indice,Miscellaneous
SPXS11,Fundo de Investimento Imobiliario - SPX SYN Multiestrategia,
ISEN11,Itau Isento Marco 29 Fundo de Investimento em Cotas de Fundos Incentivados de Investimento Financeiro em Infraestr RF RL,
BRAZ11,BB ETF BRAZ,
FATN11,BRC Renda Corporativa Fundo de Investimento Imobiliario,Miscellaneous
KFOF11,Kinea Fundo Fundos de Investimento Imobiliario -FII,
CLIN11,Clave Indices de Precos Fundo de Investimento Imobiliario,
AUVP11,BTG Pactual Teva Auvp Acoes Fundamentos Fundo De Indice,
BBOI11,BB ETF Indice Futuro de Boi Gordo B3 Fundo de Indice,Miscellaneous
SNFF11,Suno Fundo de Fundos de Investimento Imobiliario,
GENB11,BTG Pactual SP B3 Ingenius Fundo de Indice,Miscellaneous
RBRP11,Fundo de Investimento Imobiliario RBR Properties FII,
NTNS11,Investo Teva Tesouro IPCA+ 0 A 4 Anos ETF Fundo de Investimento de Indice,Miscellaneous
RVBI11,VBI Reits Multiestrategia Fundo de Investimento Imobiliario,
FIXA11,BB ETF Renda Fixa Pre Indice Futuro de Taxas de Juros S&P/B3 Fundo de Indice,Miscellaneous
XPIE11,XP Infra Fund II Fundo de Investimento em Participacoes Infraestrutura,
RBIR11,RB Capital Desenvolvimento Residencial IV Fundo de Investimento Imobiliario - FII,
DVFF11,Fundo de Investimento Imobiliario Devant Fundo de Fundos Imobiliarios,Miscellaneous
JSCR11,JS Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Miscellaneous
PIBB11,It Now PIBB IBrX-50 Fundo de Indice,Miscellaneous
ACWI11,Trend ETF Bloomberg All Countries Classe De indice R LTD A,Miscellaneous
TEPP11,Tellus Properties - Fundo de Investimento Imobiliario,
PATL11,Patria Logistica Fundo de Investimento Imobiliario,
AZPL11,AZ Quest Panorama Logistica Fundo De Investimento Imobiliario Renda,Miscellaneous
ALZC11,Alianza Credito Imobiliario Fundo de Investimento Imobiliario Responsabilidade Limitada,
IMAB11,IT NOW ID ETF IMA-B Fundo De Indice,Miscellaneous
HABT11,Fundo de Investimento Imobiliario Habitat II,
RECM11,Rec Multiestrategia Fundo De Investimento Imobiliario - Responsabilidade Limitada,
RECT11,Fundo de Investimento Imobiliario FII REC Renda Imobiliaria,Miscellaneous
URPR11,URCA Prime Renda Fundo de Investimento Imobiliario,
XFIX11,Trend ETF IFIX Fundo de Indice,Miscellaneous
CXCI11,Fundo de Investimento Imobiliario Caixa Carteira Imobiliaria,Miscellaneous
CRPT11,Empiricus Teva Criptomoedas TOP20 Fundo de Indice Investimento no Exterior,Miscellaneous
OULG11,Fundo de Investimento Imobiliario Ourinvest Logistica,Miscellaneous
PULV11,Fundo de Investimento Imobiliario RBR Credito Pulverizado Responsabilidade Limitada,
HSAF11,HSI Ativos Financeiros Fundos Investimentos Imobiliarios,
TOPP11,RBR Top Offices Fundo de Investimento Imobiliario Responsabilidade Limitada,
BCRI11,Banestes Recebiveis Imobiliarios Fundo de Investimento Imobiliario- FII Cotas,
SPXB11,BTG Pactual S&P 500 Fundo de Indice,Miscellaneous
GTWR11,Fundo Investimento Imobiliario Green Towers,
ZAVC11,Zavit Credito Imobiliario - Fundo De Investimento Imobiliario,Miscellaneous
BPML11,Fundo de Investimento Imobiliario BTG Pactual Shoppings,
USTK11,Investo ETF MSCI US Technology Fundo de Investimento de Indice Investimento no Exterior,Miscellaneous
ITRI11,Itau Total Return Fundo De Investimento Imobiliario,
NFTS11,Investo Vaneck ETF Crypto Compare Media & Entertainment Leaders Fundo de Indice Investimento no Exterior,Miscellaneous
NBOV11,NU Ibovespa B3 BR+ Classe de Indice Responsabilidade Limitada,Miscellaneous
BTAL11,Fundo de Investimento Imobiliario BTG Pactual Agro Logistica,
RELG11,Fundo de Investimento Imobiliario REC Logistica,
VIGT11,Vinci Energia Fundo de Investimento em Participacao em Infraestrutura,
SADI11,Santander Papeis Imobiliarios CDI Fundo de Investimento Imobiliario,Miscellaneous
CARE11,Brazilian Graveyard and Death Care Services Fundo de Investimento Imobiliario- FII Cotas,
AFHI11,AF Invest CRI Fundo de Investimento Imobiliario Recebiveis Imobiliarios,
NSDV11,NU Ibov Smart Dividendos Fundo de Indice,Miscellaneous
VCRI11,Vinci Credit Securities Fundo de Investimento Imobiliario,
B5MB11,ETF Bradesco Ima-B5+ Fundo de Indice,Miscellaneous
DIVD11,IT NOW IDIV Renda Dividendos Fundo de Indice - Responsabilidade Limitada,Miscellaneous
JCCJ11,JCCJ FOF JHSF Capital Fundo de Investimento Imobiliario,
SNFZ11,Suno Fazendas Fiagro - Imobiliario,Miscellaneous
SNME11,Suno Multiestrategia Fundo de Investimento Imobiliario,
ARXD11,ARX Dover Recebiveis Fundo de Investimento Imobiliario,Miscellaneous
NUCL11,Investo MVIS Global Uranium & Nuclear Energy ETF Fundo de Indice,Miscellaneous
HODL11,Investo ETF Marketvector Bitcoin Benchmark Rate Fundo de Indice Responsabilidade Limitada,
OIAG11,OIAG Ourinvest Innovation Fiagro Imobiliario,Miscellaneous
MARG11,BTG Pactual Margem Debentures Ultra Qualidade Di B3 Fundo De Indice,
BINC11,Brad FIC Firf Invest Infra CDI CP Resp Ltda,
IDKA11,It Now IRFM P3 Fundo de Indice Responsabilidade Limitada,Miscellaneous
OGIN11,Nikos Fundo De Investimento Em Cotas De Fundos Incentivados De Investimento Em Infraestrutura Renda Fixa,
KNDI11,Kinea Estrategia Infra CDI Fundo de Investimento em Participacoes em Infraestrutura Responsabilidade Limitada,
BROF11,BRPR Corporate Offices Fundo de Investimento Imobiliario,Miscellaneous
NEXG11,Nex Credito Agro Fundo de Investimento nas Cadeias Produtivas do Agronegocio Fiagro Imobiliario,
BIME11,Brio Multiestrategia Fundo de Investimento Imobiliario,
EGAF11,Ecoagro I Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,Miscellaneous
VCRA11,Vectis Datagro Credito Agronegocio - Fundo de Investimento nas Cadeias Produtivas Agroindustriais - Imobiliario,Miscellaneous
RPRI11,RBR Premium Recebiveis Imobioliarios Fundo de Investimento Imobiliario,
RZAT11,Riza Arctium Real Estate Fundo de Investimento Imobiliario,
BDIV11,BTG Pactual Infraestrutura Dividendos Fundo de Investimento em Participacoes em Infraestrutura,
KIVO11,Kilima Volkano Recebiveis Imobiliarios Fundo de Investimento Imobiliario,Miscellaneous
AURB11,Alianza Urban Hub Renda Fundo de Investimento Imobiliario,
DCRA11,Devant Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,Miscellaneous
RBRL11,RBR LOG - Fundo De Investimiento Imobiliario,Miscellaneous
FSRF11,Fiset Fl Ref Pfd,Miscellaneous
XPCM11,XP Corporate Macae Fundo de Investimento Imobiliario FII Cotas,Miscellaneous
CRAA11,Sparta Fiagro Fundo de Investimento nas Cadeias Produtivas Agroindustriais Imobiliario,Miscellaneous
BCIA11,Bradesco Carteira Imobiliatia Ative- Fundo de Fundos de Investimento Imobiliario- FII Cotas,
PNDL11,Panorama Desenvolvimento Logistico Fundo de Investimento Imobiliario,
HSLG11,HSI Logistica Fundo de Investimento Imobiliario,
IBOB11,BTG Pactual B3 Ibovespa Fundo de Indice,Miscellaneous
AURO11,Buena Vista Neos Gold High Income Index Fundo de Indice de Responsabilidade Limitada,
SAPI11,Santander Papeis Imobiliarios Fundo de Investimento Imobiliario,
WEB311,Hashdex Smart Contract Platforms FI,Miscellaneous
