ticker,p_l
MGLU3,18.92
AZUL4,N/A
UGPA3,8.05
B3SA3,14.47
BBDC4,9.33
OIBR3,N/A
COGN3,5.48
VALE3,8.90
BEEF3,N/A
NATU3,N/A
ABEV3,12.79
POMO4,8.24
PETR4,5.55
BBAS3,7.87
RAIL3,45.09
VAMO3,6.51
RAIZ4,N/A
CMIG4,4.43
CPLE6,15.67
ITUB4,9.55
USIM5,10.61
ITSA4,8.05
ENEV3,839.00
GGBR4,10.70
CSAN3,N/A
CSNA3,N/A
WEGE3,23.46
PCAR3,N/A
BHIA3,N/A
SRNA3,88.07
PETR3,5.90
VBBR3,4.83
BRKM5,N/A
LWSA3,71.83
MBRF3,11.74
LREN3,11.53
PGMN3,13.26
CPLE3,14.73
CVCB3,N/A
ASAI3,13.59
RADL3,24.54
MOTV3,14.07
AMER3,0.03
CMIN3,13.31
TIMS3,15.59
GOAU4,1.57
PRIO3,3.03
DIRR3,12.37
RENT3,18.30
CXSE3,10.56
GGPS3,19.88
DASA3,N/A
MRVE3,N/A
ELET3,18.25
BBDC3,8.03
EQTL3,12.82
AMBP3,N/A
HBRE3,23.90
SIMH3,N/A
AZTE3,N/A
LJQQ3,N/A
CYRE3,6.63
BBSE3,7.30
ECOR3,7.05
CBAV3,12.61
ONCO3,N/A
FLRY3,14.41
MULT3,11.79
ANIM3,8.82
EMBR3,28.81
AZEV4,N/A
KLBN4,10.71
SMFT3,30.22
GMAT3,10.94
AURE3,N/A
JHSF3,3.80
ISAE4,4.97
YDUQ3,12.02
SBSP3,7.89
AZEV3,N/A
SUZB3,7.88
SMTO3,11.35
MLAS3,N/A
HAPV3,N/A
RAPT4,10.37
GRND3,5.76
RDOR3,22.28
TOTS3,30.60
MOVI3,14.09
RCSL4,N/A
VIVT3,18.96
BRAP4,6.61
CSMG3,9.63
HBOR3,9.66
STBP3,15.18
CEAB3,10.42
SHUL4,6.17
PETZ3,N/A
CASH3,7.53
RECV3,5.66
INTB3,8.60
RANI3,5.23
ALOS3,17.73
NEOE3,7.88
HYPE3,19.80
SLCE3,12.21
DESK3,15.85
ELET6,19.28
TFCO4,21.96
SBFG3,9.89
TEND3,8.42
VIVA3,9.94
JALL3,N/A
TUPY3,37.77
IRBR3,6.38
QUAL3,82.33
CURY3,12.48
VULC3,6.74
PSSA3,10.14
IFCM3,0.04
CPFE3,8.29
HBSA3,N/A
ODPV3,12.38
EZTC3,7.37
PDGR3,N/A
SAPR4,5.01
MILS3,9.05
GOAU3,1.58
MDNE3,7.51
VVEO3,N/A
SYNE3,6.77
TTEN3,13.63
DXCO3,24.04
KEPL3,8.48
BRSR6,3.55
MTRE3,7.11
BPAN4,12.72
EGIE3,10.91
MYPK3,6.48
LIGT3,0.89
PRNR3,58.24
CAML3,8.60
PLPL3,9.79
SEER3,15.53
USIM3,10.63
ORVR3,242.91
ARML3,17.43
ALPA4,26.31
POSI3,N/A
ITUB3,8.52
PFRM3,7.96
GUAR3,16.63
GFSA3,N/A
KLBN3,10.88
EVEN3,194.50
BMGB4,7.73
JSLG3,15.19
FESA4,8.95
ABCB4,4.49
SEQL3,N/A
WIZC3,7.31
TASA4,5.58
ENJU3,N/A
LAVV3,7.09
ALLD3,7.62
MELK3,6.98
SOJA3,13.83
POMO3,6.93
PTBL3,N/A
PINE4,6.84
CSED3,8.82
ESPA3,40.33
FIQE3,9.14
OPCT3,N/A
PORT3,11.62
CMIG3,5.79
ALPK3,N/A
LUPA3,N/A
LEVE3,6.87
VTRU3,4.20
TRIS3,6.54
BLAU3,8.69
MDIA3,16.54
PMAM3,N/A
TECN3,7.51
COCE5,24.30
BMOB3,15.27
RCSL3,N/A
SAPR3,5.64
TAEE4,7.10
EUCA4,6.22
AERI3,N/A
AMAR3,0.47
BRST3,25.36
RNEW4,N/A
MATD3,13.12
ZAMP3,N/A
LOGG3,5.62
AGRO3,14.58
TGMA3,8.06
VLID3,5.96
ITSA3,8.19
PNVL3,12.38
FRAS3,17.96
DEXP3,5.40
UNIP6,10.56
VIVR3,N/A
TOKY3,N/A
ROMI3,8.07
AALR3,N/A
SANB4,10.20
TAEE3,7.06
SANB3,9.34
OIBR4,N/A
BRKM3,N/A
WEST3,N/A
BGIP4,2.74
UCAS3,N/A
TPIS3,N/A
BRAP3,6.02
IGTI3,6.33
TCSA3,N/A
VITT3,10.65
AMOB3,N/A
DMVF3,12.79
PDTC3,N/A
RNEW3,N/A
TRAD3,N/A
LOGN3,15.02
SHOW3,N/A
MEAL3,N/A
GGBR3,9.35
SCAR3,N/A
NGRD3,N/A
CSUD3,8.01
BEES3,7.64
WHRL3,8.41
BMEB4,10.16
BAZA3,3.27
RPMG3,N/A
CGRA4,5.08
RSID3,0.12
BALM4,7.30
CAMB3,5.86
LPSB3,6.33
PTNT3,10.56
CEBR6,9.96
AGXY3,N/A
WHRL4,8.61
HOOT4,1.03
EALT4,2.50
UNIP3,8.96
BRSR3,4.23
CEEB3,4.64
PINE3,6.84
BEES4,7.61
ALUP4,9.83
BIOM3,N/A
MGEL4,N/A
LAND3,80.09
INEP4,N/A
INEP3,N/A
LUXM4,4.62
ENGI4,6.27
OSXB3,N/A
DOHL4,N/A
RAPT3,10.00
CLSC4,6.94
TASA3,6.13
BPAC3,15.11
EMAE4,17.67
PTNT4,6.71
DOTZ3,101.14
ALPA3,25.97
EPAR3,N/A
CRPG5,N/A
CEBR3,9.27
BPAC5,6.00
ATED3,N/A
ALUP3,10.92
ISAE3,6.32
BSLI4,4.51
BOBR4,5.00
EQPA3,4.87
VSTE3,N/A
ENGI3,8.88
MTSA4,9.38
MNPR3,0.54
NUTR3,6.84
REAG3,9.62
RDNI3,N/A
CGRA3,5.01
TELB3,51.05
WLMM4,6.76
CEBR5,9.29
FICT3,N/A
JFEN3,0.31
SNSY5,0.32
CGAS5,10.89
CTKA4,1.83
DEXP4,5.30
EKTR4,9.93
AVLL3,N/A
EALT3,2.70
HAGA3,26.43
MNDL3,N/A
BIED3,N/A
RSUL4,6.46
NEXP3,1.41
FHER3,N/A
GSHP3,N/A
BDLL3,N/A
BRKM6,N/A
BNBR3,3.89
BMKS3,13.72
