Empresa,Ticker,Setor,Tipo,Preço Atual,Market Cap,Dividendos 5 Anos (R$)
Telefônica Brasil S.A.,VIVT3.SA,Communications,stock,31.93,103023747072.0,6.9423
TIM S.A.,TIMS3.SA,Communications,stock,21.35,51617898496.0,140.7178
Unifique Telecomunicações S.A.,FIQE3.SA,Communications,stock,3.73,1317081600.0,0.634
0,BRST3.SA,Communications,stock,2.61,1143200896.0,0.1925
Desktop S.A.,DESK3.SA,Communications,stock,8.04,930975744.0,0.1126
Telecomunicações Brasileiras S.A. - Telebras,TELB4.SA,Communications,stock,7.66,1114821120.0,0.0
Telecomunicações Brasileiras S.A. - Telebras,TELB3.SA,Communications,stock,12.85,1106086912.0,0.0
Oi S.A.,OIBR3.SA,Communications,stock,0.53,182073552.0,0.0
Oi S.A.,OIBR4.SA,Communications,stock,7.49,187199808.0,0.0
Itaú Unibanco Holding S.A.,ITUB3.SA,Finance,stock,31.55,360398782464.0,7.1577
Itaú Unibanco Holding S.A.,ITUB4.SA,Finance,stock,35.3,360059994112.0,7.1577
Banco BTG Pactual S.A.,BPAC3.SA,Finance,stock,21.08,206377418752.0,0.9452
Banco BTG Pactual S.A.,BPAC5.SA,Finance,stock,8.88,207688105984.0,0.9455
Banco Bradesco S.A.,BBDC3.SA,Finance,stock,13.49,154290520064.0,4.5813
Banco Bradesco S.A.,BBDC4.SA,Finance,stock,15.66,154015793152.0,4.7443
Banco BTG Pactual S.A.,BPAC11.SA,Finance,fund,39.17,130910052352.0,2.8366
Banco Santander (Brasil) S.A.,SANB11.SA,Finance,fund,26.35,140713738240.0,10.1706
Banco do Brasil S.A.,BBAS3.SA,Finance,stock,18.72,106861051904.0,8.3825
Itaúsa S.A.,ITSA4.SA,Finance,stock,10.42,114531434496.0,2.8528
Itaúsa S.A.,ITSA3.SA,Finance,stock,10.39,114201690112.0,2.8365
Banco Santander (Brasil) S.A.,SANB3.SA,Finance,stock,12.51,98415550464.0,4.8431
Banco Santander (Brasil) S.A.,SANB4.SA,Finance,stock,13.88,98546196480.0,5.3274
"B3 S.A. - Brasil, Bolsa, Balcão",B3SA3.SA,Finance,stock,12.68,65898594304.0,2.4369
BB Seguridade Participações S.A.,BBSE3.SA,Finance,stock,33.55,65127591936.0,12.2969
Caixa Seguridade Participações S.A.,CXSE3.SA,Finance,stock,13.35,40049999872.0,3.9258
Localiza Rent a Car S.A.,RENT3.SA,Finance,stock,34.36,36235026432.0,5.9702
Porto Seguro S.A.,PSSA3.SA,Finance,stock,53.28,34204907520.0,6.3814
Multiplan Empreendimentos Imobiliários S.A.,MULT3.SA,Finance,stock,25.29,12355379200.0,4.1709
Allos S.A.,ALOS3.SA,Finance,stock,21.54,10788417536.0,3.3479
Banco Pan S.A.,BPAN4.SA,Finance,stock,7.57,9466815488.0,1.1634
Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRE3.SA,Finance,stock,24.27,8890368000.0,5.7231
Banco do Nordeste do Brasil S.A.,BNBR3.SA,Finance,stock,91.06,8987603968.0,25.2752
Cury Construtora e Incorporadora S.A.,CURY3.SA,Finance,stock,29.38,8544937472.0,5.0175
Direcional Engenharia S.A.,DIRR3.SA,Finance,stock,39.02,20290908160.0,3.8965
Iguatemi S.A.,IGTI3.SA,Finance,stock,2.4,6117840384.0,0.305
Bradespar S.A.,BRAP3.SA,Finance,stock,14.59,6046095872.0,18.6259
Bradespar S.A.,BRAP4.SA,Finance,stock,15.86,6065847296.0,19.1747
Banco ABC Brasil S.A.,ABCB4.SA,Finance,stock,20.89,5025946112.0,7.0572
Banco do Estado do Rio Grande do Sul S.A.,BRSR6.SA,Finance,stock,10.78,4561481728.0,4.4679
Banco do Estado do Rio Grande do Sul S.A.,BRSR3.SA,Finance,stock,11.55,4585304064.0,4.4679
"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",VAMO3.SA,Finance,stock,3.86,4115107328.0,1.057
Banco da Amazônia S.A.,BAZA3.SA,Finance,stock,71.84,4027228160.0,29.5821
BRB - Banco de Brasília S.A.,BSLI3.SA,Finance,stock,8.28,4158207744.0,2.0106
BRB - Banco de Brasília S.A.,BSLI4.SA,Finance,stock,10.56,4836680704.0,0.7383
Banco Mercantil do Brasil S.A.,BMEB4.SA,Finance,stock,38.81,3536452608.0,5.0766
IRB-Brasil Resseguros S.A.,IRBR3.SA,Finance,stock,45.52,3725488640.0,0.7719
JHSF Participações S.A.,JHSF3.SA,Finance,stock,5.15,3447307008.0,1.7882
Plano & Plano Desenvolvimento Imobiliário S.A.,PLPL3.SA,Finance,stock,12.82,2601306112.0,2.0276
EZTEC Empreendimentos e Participações S.A.,EZTC3.SA,Finance,stock,14.22,3101751808.0,2.7278
Construtora Tenda S.A.,TEND3.SA,Finance,stock,22.29,2732263680.0,0.6477
Banestes S.A - Banco do Estado do Espírito Santo,BEES4.SA,Finance,stock,8.44,2907647488.0,2.5834
Banestes S.A - Banco do Estado do Espírito Santo,BEES3.SA,Finance,stock,8.39,2924913664.0,2.5834
"Mills Locação, Serviços e Logística S.A.",MILS3.SA,Finance,stock,11.45,2734328576.0,1.4316
Lavvi Empreendimentos Imobiliários S.A.,LAVV3.SA,Finance,stock,12.25,2394066432.0,3.0382
Movida Participações S.A.,MOVI3.SA,Finance,stock,6.16,2112978560.0,1.6658
Banco BMG S.A.,BMGB4.SA,Finance,stock,3.45,1743250432.0,1.8007
BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,AGRO3.SA,Finance,stock,20.35,2027175552.0,13.3541
Moura Dubeux Engenharia S.A.,MDNE3.SA,Finance,stock,22.17,1875981056.0,1.2409
Even Construtora e Incorporadora S.A.,EVEN3.SA,Finance,stock,6.85,1345401600.0,2.186
Banco Pine S.A.,PINE3.SA,Finance,stock,5.77,1307141504.0,1.0518
Banco Pine S.A.,PINE4.SA,Finance,stock,6.0,1340717952.0,1.054
Wiz Co Participações e Corretagem de Seguros S.A.,WIZC3.SA,Finance,stock,7.44,1189708160.0,2.1386
"Armac Locação, Logística e Serviços S.A.",ARML3.SA,Finance,stock,3.47,1201400704.0,1.0309
São Carlos Empreendimentos e Participações S.A.,SCAR3.SA,Finance,stock,17.95,1027120576.0,2.2523
Syn Prop & Tech S.A.,SYNE3.SA,Finance,stock,6.64,1013556160.0,13.0174
Terra Santa Propriedades Agrícolas S.A.,LAND3.SA,Finance,stock,11.1,1067898880.0,1.7187
Companhia de Participações Aliança da Bahia,PEAB4.SA,Finance,stock,37.0,708993984.0,49.1074
Banco do Estado de Sergipe S.A.,BGIP4.SA,Finance,stock,27.3,671743808.0,11.3381
Mitre Realty Empreendimentos e Participações S.A.,MTRE3.SA,Finance,stock,3.71,392425248.0,2.2401
Alfa Holdings S.A.,RPAD3.SA,Finance,stock,4.5,399925376.0,0.0007
Suno Recebiveis Imobiliarios Fundo De Investimento Imobiliario,SNCI11.SA,Finance,fund,85.92,360864000.0,41.7231
HBR Realty Empreendimentos Imobiliários S.A.,HBRE3.SA,Finance,stock,3.39,348976768.0,0.0
Alphaville S.A.,AVLL3.SA,Finance,stock,1.7,332061024.0,0.0
Gafisa S.A.,GFSA3.SA,Finance,stock,15.24,102521616.0,0.0
Iridium Fundo De Investimento Imobiliario,IRIM11.SA,Finance,fund,66.35,127392000.0,46.9156
Tecnisa S.A.,TCSA3.SA,Finance,stock,1.65,121471680.0,0.0
RNI Negócios Imobiliários S.A.,RDNI3.SA,Finance,stock,2.19,92424792.0,0.2113
Banco Mercantil de Investimentos S.A.,BMIN4.SA,Finance,stock,16.55,93071240.0,7.1896
PPLA Participations Ltd.,PPLA11.SA,Finance,fund,1.0,42220000.0,0.0
Nexpe Participações S.A.,NEXP3.SA,Finance,stock,3.85,10220017.0,0.0
PDG Realty S.A. Empreendimentos e Participações,PDGR3.SA,Finance,stock,0.21,6235089.0,0.0
Cpv Energia Fundo De Investimento Imobiliario Responsabilidade Limitada,RENV11.SA,Finance,fund,5.44,5585737.0,0.256
Energy Resort Fundo De Investimento Imobiliario,EGYR11.SA,Finance,fund,3.03,2306151.0,0.0
Iguatemi S.A.,IGTI11.SA,Finance,fund,20.7,0.0,2.0556
BRBI BR Partners S.A.,BRBI11.SA,Finance,fund,15.37,0.0,3.2536
Rio Bravo Esg FICFI Em Infraestrutura Renda Fixa Credito Privado,RBIF11.SA,Finance,fund,72.52,0.0,32.12
Transmissora Aliança de Energia Elétrica S.A.,TAEE11.SA,Industrial Services,fund,33.43,11516602368.0,16.7312
Transmissora Aliança de Energia Elétrica S.A.,TAEE3.SA,Industrial Services,stock,11.01,11387533312.0,5.8432
Transmissora Aliança de Energia Elétrica S.A.,TAEE4.SA,Industrial Services,stock,11.11,11470407680.0,5.5771
LOG Commercial Properties e Participações S.A.,LOGG3.SA,Industrial Services,stock,20.7,1800885504.0,4.7608
Priner Serviços Industriais S.A.,PRNR3.SA,Industrial Services,stock,15.0,704270976.0,0.4752
Melnick Desenvolvimento Imobiliário S.A.,MELK3.SA,Industrial Services,stock,3.31,676140288.0,2.432
Azevedo & Travassos S.A.,AZEV3.SA,Industrial Services,stock,0.54,327902592.0,0.0
Azevedo & Travassos S.A.,AZEV4.SA,Industrial Services,stock,0.55,322046976.0,0.0
Azevedo & Travassos Energia S.A.,AZTE3.SA,Industrial Services,stock,0.54,106695368.0,0.0
Inepar S.A. Indústria e Construções,INEP3.SA,Industrial Services,stock,1.73,73709072.0,0.0
Inepar S.A. Indústria e Construções,INEP4.SA,Industrial Services,stock,1.4,72856976.0,0.0
OSX Brasil S.A.,OSXB3.SA,Industrial Services,stock,2.59,8153423.0,0.0
Centrais Elétricas Brasileiras S.A. - Eletrobrás,ELET3.SA,Utilities,stock,37.89,86039470080.0,5.5547
Centrais Elétricas Brasileiras S.A. - Eletrobrás,ELET6.SA,Utilities,stock,41.03,85975080960.0,9.503
Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SBSP3.SA,Utilities,stock,108.58,74215522304.0,7.7875
CPFL Energia S.A.,CPFE3.SA,Utilities,stock,38.23,44050518016.0,15.3774
Equatorial S.A.,EQTL3.SA,Utilities,stock,34.25,42890592256.0,2.9333
Engie Brasil Energia S.A.,EGIE3.SA,Utilities,stock,39.89,32547366912.0,12.2691
Companhia Paranaense de Energia - COPEL,CPLE3.SA,Utilities,stock,11.1,34204207104.0,2.9296
Companhia Paranaense de Energia - COPEL,CPLE6.SA,Utilities,stock,11.9,34364104704.0,3.7018
Companhia Energética de Minas Gerais - CEMIG,CMIG4.SA,Utilities,stock,10.3,33629192192.0,5.7928
Companhia Energética de Minas Gerais - CEMIG,CMIG3.SA,Utilities,stock,14.41,33071239168.0,6.1963
Neoenergia S.A.,NEOE3.SA,Utilities,stock,24.82,30126514176.0,4.1393
Eneva S.A.,ENEV3.SA,Utilities,stock,13.5,25862625280.0,0.0
Energisa S.A.,ENGI4.SA,Utilities,stock,8.52,21862578176.0,2.158
Energisa S.A.,ENGI3.SA,Utilities,stock,11.12,21677883392.0,2.0977
Energisa S.A.,ENGI11.SA,Utilities,fund,45.77,20922839040.0,10.79
ISA Energía Brasil S.A.,ISAE4.SA,Utilities,stock,21.17,16198501376.0,10.2217
Energisa Mato Grosso - Distribuidora de Energia S/A,ENMT3.SA,Utilities,stock,61.0,13640819712.0,18.0977
ISA Energía Brasil S.A.,ISAE3.SA,Utilities,stock,30.31,16424564736.0,10.2217
Companhia de Gás de São Paulo - COMGÁS,CGAS3.SA,Utilities,stock,120.58,15989511168.0,56.8266
Companhia de Gás de São Paulo - COMGÁS,CGAS5.SA,Utilities,stock,129.0,17055605760.0,62.5092
Alupar Investimento S.A.,ALUP11.SA,Utilities,fund,29.5,14381456384.0,5.3102
Rede Energia Participações S.A.,REDE3.SA,Utilities,stock,6.39,13484944384.0,3.6325
Cosan S.A.,CSAN3.SA,Utilities,stock,5.8,10780344320.0,1.9404
Equatorial Pará Distribuidora de Energia S.A.,EQPA3.SA,Utilities,stock,5.77,12750142464.0,2.9344
Companhia de Saneamento do Paraná - SANEPAR,SAPR3.SA,Utilities,stock,7.41,10247511040.0,1.3895
Companhia de Saneamento do Paraná - SANEPAR,SAPR11.SA,Utilities,fund,34.18,10330597376.0,7.5034
Companhia de Saneamento do Paraná - SANEPAR,SAPR4.SA,Utilities,stock,6.61,10474867712.0,1.5285
Auren Energia S.A.,AURE3.SA,Utilities,stock,9.73,10167654400.0,3.5431
Companhia de Saneamento de Minas Gerais,CSMG3.SA,Utilities,stock,25.25,9574320128.0,7.6504
Alupar Investimento S.A.,ALUP4.SA,Utilities,stock,9.5,10068669440.0,1.7701
Alupar Investimento S.A.,ALUP3.SA,Utilities,stock,10.45,10016721920.0,1.7701
Elektro Redes S.A.,EKTR4.SA,Utilities,stock,47.24,8947398656.0,27.1605
Serena Energia S.A.,SRNA3.SA,Utilities,stock,11.87,7391306240.0,0.0
Orizon Valorização de Resíduos S.A.,ORVR3.SA,Utilities,stock,47.5,4566027776.0,0.0
Equatorial Maranhão Distribuidora de Energia S.A.,EQMA3B.SA,Utilities,stock,28.6,4695662592.0,17.1623
Centrais Elétricas de Santa Catarina S.A.,CLSC4.SA,Utilities,stock,103.09,3946645760.0,28.2771
Rio Paranapanema Energia S.A.,GEPA4.SA,Utilities,stock,35.93,3308258560.0,17.9192
Light S.A.,LIGT3.SA,Utilities,stock,6.03,3041067776.0,0.5132
Companhia Energética do Ceará - COELCE,COCE5.SA,Utilities,stock,28.75,2859282176.0,8.2077
Companhia Energética de Brasília - CEB,CEBR3.SA,Utilities,stock,19.6,1457922560.0,27.8682
Companhia Energética de Brasília - CEB,CEBR5.SA,Utilities,stock,20.1,1466492032.0,27.8682
Companhia Energética de Brasília - CEB,CEBR6.SA,Utilities,stock,20.58,1426078720.0,30.655
Empresa Metropolitana de Águas e Energia S.A.,EMAE4.SA,Utilities,stock,28.99,2824565248.0,14.9393
Renova Energia S.A.,RNEW11.SA,Utilities,fund,3.4,463998016.0,0.0
Afluente Transmissão de Energia Elétrica S.A.,AFLT3.SA,Utilities,stock,7.08,446639680.0,2.0681
Renova Energia S.A.,RNEW4.SA,Utilities,stock,1.12,434949760.0,0.0
Renova Energia S.A.,RNEW3.SA,Utilities,stock,1.13,417072832.0,0.0
